"node__id","node__name","node__variants__stocks__quantity","node__variants__stocks__warehouse__name"
"UHJvZHVjdDozNDc1","WC-Aktiv Gel Arctic 750ML","1","Hamburg Oellkersallee"
"","","0","München Leopoldstraße"
"","","10","DE_MUC_MAXV"
"","","4","DE_NRM_MAXF"
"","","3","DE_BER_WILM"
"UHJvZHVjdDozNDc2","WC-Aktiv Gel Fresh Green 750ML","1","Hamburg Oellkersallee"
"","","21","München Leopoldstraße"
"","","12","DE_MUC_MAXV"
"","","1","DE_NRM_MAXF"
"","","5","DE_BER_WILM"
"UHJvZHVjdDozMzg2","3 Wetter taft Pump-Fixierung Haarlack Ultra ","4","Hamburg Oellkersallee"
"","","1","München Leopoldstraße"
"","","5","DE_MUC_MAXV"
"","","10","DE_NRM_MAXF"
"","","3","DE_BER_WILM"
"UHJvZHVjdDozMzg3","3 Wetter taft Pump-Fixierung Haarspray Normales Haar","1","Hamburg Oellkersallee"
"","","6","München Leopoldstraße"
"","","6","DE_MUC_MAXV"
"","","6","DE_NRM_MAXF"
"","","8","DE_BER_WILM"
"UHJvZHVjdDoyOTI4","Absolut Vodka 40% 0,7L","3","Hamburg Oellkersallee"
"","","6","München Leopoldstraße"
"","","6","DE_MUC_MAXV"
"","","6","DE_NRM_MAXF"
"UHJvZHVjdDoyOTI3","Absolut Vodka 40% 3L","1","Hamburg Oellkersallee"
"","","4","München Leopoldstraße"
"UHJvZHVjdDozMDA4","Agrarfrost Crunchy Riffeled Frites 450g","11","Hamburg Oellkersallee"
"","","13","München Leopoldstraße"
"","","14","DE_MUC_MAXV"
"","","0","DE_NRM_MAXF"
"UHJvZHVjdDozMDA5","Agrarfrost Kartoffelpuffer 600g","9","Hamburg Oellkersallee"
"","","7","München Leopoldstraße"
"","","9","DE_MUC_MAXV"
"","","0","DE_NRM_MAXF"
"UHJvZHVjdDozMDEx","Agrarfrost Knusperfrites 750g","12","Hamburg Oellkersallee"
"","","12","München Leopoldstraße"
"","","12","DE_MUC_MAXV"
"","","12","DE_NRM_MAXF"
"UHJvZHVjdDozMDEw","Agrarfrost Knusper Wedges 500g","10","Hamburg Oellkersallee"
"","","11","München Leopoldstraße"
"","","12","DE_MUC_MAXV"
"","","0","DE_NRM_MAXF"
"UHJvZHVjdDozMDEy","Agrarfrost  Snack Rösti 450g","1","Hamburg Oellkersallee"
"","","3","München Leopoldstraße"
"","","9","DE_MUC_MAXV"
"","","0","DE_NRM_MAXF"
"UHJvZHVjdDozNzA3","Airwaves Menthol & Eucalyptus 3x10 40g","20","Hamburg Oellkersallee"
"","","6","München Leopoldstraße"
"UHJvZHVjdDoyNTk2","Alpro Bio Soyadrink 1L","15","Hamburg Oellkersallee"
"","","3","München Leopoldstraße"
"","","8","DE_MUC_MAXV"
"","","8","DE_NRM_MAXF"
"UHJvZHVjdDoyNjAw","Alpro Hafer Barista Drink  1L","7","Hamburg Oellkersallee"
"","","13","München Leopoldstraße"
"","","8","DE_MUC_MAXV"
"","","8","DE_NRM_MAXF"
"UHJvZHVjdDoyNTk5","Alpro Haferdrink Ungesüßt 1L","16","Hamburg Oellkersallee"
"","","7","München Leopoldstraße"
"","","8","DE_MUC_MAXV"
"","","8","DE_NRM_MAXF"
"UHJvZHVjdDoyNTk3","Alpro Mandel Drink 1L","15","Hamburg Oellkersallee"
"","","8","München Leopoldstraße"
"","","8","DE_MUC_MAXV"
"","","8","DE_NRM_MAXF"
"UHJvZHVjdDoyNTk4","Alpro Mandeldrink Ungesüßt Ungeröstet 1L","14","Hamburg Oellkersallee"
"","","8","DE_MUC_MAXV"
"","","8","DE_NRM_MAXF"
"UHJvZHVjdDoyOTQz","Alpro Pflanzliches 360 Caramel Macchiato 450ML","0","Hamburg Oellkersallee"
"","","6","München Leopoldstraße"
"","","5","DE_MUC_MAXV"
"","","0","DE_NRM_MAXF"
"UHJvZHVjdDoyOTQ0","Alpro Pflanzliches 360 Mango-Passionsfrucht 450ML","0","Hamburg Oellkersallee"
"","","6","München Leopoldstraße"
"","","0","DE_MUC_MAXV"
"","","0","DE_NRM_MAXF"
"UHJvZHVjdDoyOTQy","Alpro Pflanzliches Haselnuss&Schoko Eis 500ML","2","Hamburg Oellkersallee"
"","","6","München Leopoldstraße"
"","","4","DE_MUC_MAXV"
"","","6","DE_NRM_MAXF"
"UHJvZHVjdDoyOTQx","Alpro Pflanzliches Soja&Karamel Eis 500ML","1","Hamburg Oellkersallee"
"","","6","München Leopoldstraße"
